-----------------------------
name,sizeAligned,version,offset,value3,messageId
AnimationComponentMessages::FloatVariable,32,1,0x1581BC0,0,0xB3B7D2E
AnimationComponentMessages::FloatNodeVariable,32,1,0x1581C30,0,0x4C1B3DF2
AnimationComponentMessages::FloatRangeNodeVariable,48,1,0x1581CA0,0,0x91419DEB
AnimationComponentMessages::VectorVariable,32,1,0x1581D10,0,0x23314E53
AnimationComponentMessages::QuaternionVariable,32,1,0x1581D80,0,0xCC9F1B8
AnimationComponentMessages::Int8Variable,16,1,0x1581DF0,0,0xC11AFDE7
AnimationComponentMessages::BoolVariable,16,1,0x1581E60,0,0xA67454F0
AnimationComponentMessages::CharacterTransform,80,1,0x1581ED0,0,0xAB2F1EB1
AnimationComponentMessages::CharacterTransformPersistent,48,1,0x1581F40,0,0x970F93D4
AnimationComponentMessages::CharacterAnimationDestroyed,16,1,0x1581FB0,0,0x53A4BF26
AnimationComponentMessages::AnimationOverride,56,1,0x1582130,0,0x8C738C9E
AnimationComponentMessages::BehaviorInternalState,152,1,0x15821A0,0,0xCE9B5148
AnimationComponentMessages::CharacterBehaviorInternalState,48,1,0x1582210,0,0x16C090B1
AnimationComponentMessages::BehaviorStateUpdate,360,1,0x1582280,0,0x217192BE
AnimationComponentMessages::BehaviorInitializationData,128,1,0x15822F0,0,0x7846436E
AnimationComponentMessages::CharacterSetPosition,48,1,0x15824C0,0,0x51A1705A
AnimationComponentMessages::PlayAnimation,96,1,0x1582530,0,0x9385A0
SimulationMessages::InitialTimestamp,24,1,0x15B70E0,0,0xD094FEA
SimulationMessages::Timestamp,24,1,0x15B7150,0,0x1E9B31CE
SimulationMessages::SetWorldGravityMagnitude,32,1,0x15B71C0,0,0x86E6A7F6
SimulationMessages::ActiveRigidBodyUpdate,96,2,0x15B7230,140699510501152,0x864418DA
SimulationMessages::RigidBodyDeactivated,64,2,0x15B72A0,140699510501312,0xD938F45
SimulationMessages::RigidBodyPropertyChanged,48,1,0x15B7310,0,0x45FAAEBC
SimulationMessages::RigidBodyDestroyed,16,1,0x15B7380,0,0x3A92215C
